Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Төлбөрийн нөхцөл,Цонхны тоо,Барилгын явц,Цахилгаан шаттай эсэх,price_text,price_numeric,area_numeric,address_text,district,url,Website
Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Төмөр,52.1 м²,9,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,234.45 сая₮,234.45,52.1,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Сүхбаатар,https://www.unegui.mn/adv/9519613_dolgoon-nuurt-lago-verde-khotkhond-52-1mkv-2-oroo/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,49.66 м²,2,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,173 сая₮үнэ тохирно,173.0,49.66,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9334604_maral-aialal-khotkhon/,
Паркет,1 тагттай,2024,Байхгүй,Вакум,16,Бүргэд,65.5 м²,10,Банкны зээлээр авах боломжтой,4,Ашиглалтад орсон,Цахилгаан шаттай,230 сая₮,230.0,65.5,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9600562_siti-palas-khotkhond-2-oroo-bair-iaarmag/,
Паркет,1 тагттай,2016,Байхгүй,Вакум,9,Бүргэд,43.3 м²,12,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,152 сая₮,152.0,43.3,"УБ — Баянзүрх, 14-р хороолол",Баянзүрх,https://www.unegui.mn/adv/9601810_tsagaan-khuaran-khotkhony-2-oroo-43-3m2-bair-zarna/,
Паркет,1 тагттай,2013,Байгаа,Вакум,9,Бүргэд,51.0 м²,7,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,270 сая₮,270.0,51.0,"УБ — Хан-Уул, Хурд",Хан-Уул,https://www.unegui.mn/adv/9601679_khud-15-r-khoroo-khurd-rapid-khotkhond-2-oroo-bair-zarna/,
Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,52.62 м²,9,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,285 сая₮үнэ тохирно,285.0,52.62,"УБ — Баянзүрх, Баянзүрх, Хороо 3",Баянзүрх,https://www.unegui.mn/adv/9550777_sansar-chingisiin-zuun-tald-enerel-tsogtsolbort-2-oroo-bair-zarna/,
Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Бүргэд,56.0 м²,11,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,3.2 сая₮,3.2,56.0,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9456114_iaarmag-khanbogd-khoroolold-2-oroo-bair-zarna/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Төмөр,57.63 м²,15,Банкны зээлээр авах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,230 сая₮,230.0,57.63,"УБ — Хан-Уул, Яармаг",Хан-Уул,https://www.unegui.mn/adv/9562024_yarmag-nukhtiin-zam-daguu-gumuda-garden-hothond-shine-54-88-mk-2-uruu-bair-zarna/,
Паркет,1 тагттай,2017,Байхгүй,Вакум,14,Төмөр вакум,39.9 м²,12,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,185 сая₮,185.0,39.9,"УБ — Баянгол, Баянгол, Хороо 2",Баянгол,https://www.unegui.mn/adv/9593612_tbd-anduudyn-baruun-khoino-gan-zam-apartmented-2-oroo-bair-zarna/,
Паркет,1 тагттай,2025,Байхгүй,Вакум,16,Бүргэд,55.67 м²,2,Бэлэн төлөлтөөр зарах боломжтой,2,Ашиглалтад орсон,Цахилгаан шаттай,190 сая₮үнэ тохирно,190.0,55.67,"УБ — Баянзүрх, Баянзүрх, Хороо 40",Баянзүрх,https://www.unegui.mn/adv/9599050_bzd-iin-batlan-khamgaalakh-ikh-surguulyn-zamyn-esreg-tald-shine-2-oroo-bair-zarna/,
Мод,1 тагттай,2012,Байхгүй,Вакум,12,Бүргэд,45.0 м²,10,Бэлэн төлөлтөөр зарах боломжтой,3,Ашиглалтад орсон,Цахилгаан шаттай,160 сая₮168 сая₮үнэ тохирно,160.0,45.0,"УБ — Баянгол, Модны 2",Баянгол,https://www.unegui.mn/adv/9575380_bgd-modny-2-gant-khotkhond-2-oroo-bair-khudaldana/,
